#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:aligned" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:aligned" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:aligned" spec="beast.base.evolution.tree.Tree">
#                <trait id="dateTrait.t:aligned" spec="beast.base.evolution.tree.TraitSet" traitname="date">
#                                    Japan/SZ-NIG-Y223038/2022=2022,
#VNM/OUCRU-NHTD3617/2022=2020,
#KEN/C120125/2022=2020,
#Switzerland/GE-HUG-40509532/2023=2021,
#England/QEUH-326BE15A/2023=2021,
#USA/VI-CDC-2-6875014/2023=2022,
#Switzerland/BS-UHB-USB_2023_01_30_f6430886/2023=2022,
#THA/CONI-3921/2022=2022,
#USA/AK-USAFSAM-S21082/2023=2022,
#BHR/660304023/2022=2022,
#USA/UT-CDC-VSX-A079256/2023=2022,
#Canisfamiliaris/NAM/1256/2022=2022,
#NZL/22CH0368/2022=2022,
#USA/CA-CDC-STM-NBU4XHDMV/2022=2022,
#THA/CONI-3908/2022=2022,
#USA/NC-CDC-LC0895050/2022=2022,
#IRQ/BG-USAFSAM-S20950/2022=2022,
#CHN/CPL-12-52/2022=2022,
#USA/LA-CDC-QDX41868225/2022=2022,
#Japan/SZ-NIG-Y222450/2022=2022,
#BEL/HT-USAFSAM-S20836/2022=2022,
#LAO/LOMWRU-0853/2022=2022,
#KEN/SS11283/2022=2022,
#England/BRBR-32657988/2022=2022,
#SYC/SS10817/2022=2022,
#LAO/LOMWRU-0868/2022=2022,
#LAO/LOMWRU-0651/2022=2022,
#THA/CONI-3889/2022=2022,
#NZL/20CV0055/2020=2022,
#USA/VA-VTVAS3-GSC23203/2021=2022,
#OX352506=2022,
#Switzerland/BE-SRO-5000138287/2022=2022,
#Liechtenstein/FL-Risch-0926R13825/2022=2022,
#TWN/KMUH-33/2022=2022,
#Liechtenstein/FL-Risch-1219R15476/2022=2022,
#England/LSPA-325E464E/2022=2022,
#BHR/390105767/2022=2022,
#Japan/PG-250552/2022=2022,
#Switzerland/SG-Risch-1012R14178/2022=2022,
#USA/MN-CDC-QDX42000672/2022=2022,
#Liechtenstein/FL-Risch-0923R13838/2022=2022,
#OX451126=2022,
#LBY/59772-19/2022=2023,
#Switzerland/ZH-ETHZ-38004464/2022=2023,
#England/MILK-800BDA/2020=2023,
#England/BRBR-326ECF59/2023=2023,
#OX450918=2023,
#KEN/SS11076/2022=2023,
#BRA/DF-NXBS126GENOV827515027588/2021=2023,
#USA/NE-CDC-LC0925904/2022=2022                
#                                    <taxa id="TaxonSet.aligned" spec="beast.base.evolution.alignment.TaxonSet">
#                    </taxa>
#                </trait>
#                <taxonset idref="TaxonSet.aligned"/>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:aligned" name="distribution" x="@birthRate.t:aligned">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ClockPrior.c:aligned" name="distribution">
#            <parameter id="clockRate.c:aligned" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.3" name="distr">
#                <parameter estimate="false" id="RealParameter.15" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.16" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="FrequenciesPrior.s:aligned" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:aligned" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <distr id="Dirichlet.0" spec="beast.base.inference.distribution.Dirichlet">
#                <parameter dimension="4" estimate="false" id="RealParameter.7" name="alpha" spec="beast.base.inference.parameter.RealParameter">4.0 4.0 4.0 4.0</parameter>
#            </distr>
#        </prior>
#        <prior id="KappaPrior.s:aligned" name="distribution">
#            <parameter id="kappa.s:aligned" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@aligned" id="treeLikelihood.aligned" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:aligned">
#            <siteModel id="SiteModel.s:aligned" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:aligned" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:aligned" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:aligned" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:aligned" kappa="@kappa.s:aligned" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:aligned" id="estimatedFreqs.s:aligned" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:aligned" id="StrictClock.c:aligned" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	kappa	mutationRate	clockRate
0	-50233.640387349595	-50166.049487048556	-67.5909003010406	-50166.049487048556	6.415070321746509	19.360159356037418	-68.36015935603743	1.0	0.25	0.25	0.25	0.25	2.0	1.0	1.0
1000	-9690.87338009333	-9627.183502902557	-63.68987719077309	-9627.183502902557	3.0974778262761036	13.075936495738853	-60.69684943577555	0.7384542511243077	0.17501527889780472	0.411510700239304	0.1356128258041092	0.27786119505878215	2.1372387138311755	1.0	0.030933376265405516
2000	-7999.279935915653	-7909.072968963962	-90.2069669516912	-7909.072968963962	3.778991183441083	41.60269672381984	-80.50921057267088	0.6801032511313607	0.34151149474653186	0.22810395034248593	0.14721066094851196	0.28317389396247017	2.3163286169405657	1.0	0.002194934272891946
3000	-7714.528303802922	-7618.519052969183	-96.00925083373922	-7618.519052969183	4.3265695194921925	55.401779386077166	-86.065563461646	0.46689269435805253	0.34037172633245405	0.20638821285276973	0.15258984043633134	0.3006502203784449	1.6027607165873345	1.0	0.0019051113663126106
4000	-7240.860064007877	-7141.271421045599	-99.5886429622774	-7141.271421045599	4.3357395864269925	59.69812859013793	-88.07149751743299	0.46689269435805253	0.34037172633245405	0.20638821285276973	0.15258984043633134	0.3006502203784449	1.6027607165873345	1.0	0.00125666106331239
5000	-7027.945156172278	-6918.72534626778	-109.21980990449767	-6918.72534626778	7.489897950402959	76.54898348859567	-95.93903856321056	0.46689269435805253	0.34037172633245405	0.20638821285276973	0.15258984043633134	0.3006502203784449	1.6756994034965529	1.0	8.192227032789749E-4
6000	-6978.825623334789	-6858.966814428125	-119.85880890666411	-6858.966814428125	8.510811849623256	92.98392668959553	-104.74973263789964	0.4952559442568831	0.28721601519993406	0.19833073714895597	0.1476952178110867	0.36675802984002326	1.336203235195447	1.0	5.356027641859372E-4
7000	-6912.162331409645	-6781.758445880388	-130.40388552925756	-6781.758445880388	12.525942470259716	134.4345668332737	-114.09045806960891	0.23409661295028064	0.2746978301847762	0.2020434770652053	0.18682713360070427	0.3364315591493143	1.8050899766027428	1.0	3.9572066343558047E-4
8000	-6846.033122188332	-6718.887738625844	-127.14538356248786	-6718.887738625844	13.589734657010586	124.29141419571978	-110.927674895452	0.2932834891368998	0.2746978301847762	0.2020434770652053	0.18682713360070427	0.3364315591493143	1.8825809037357564	1.0	4.067148514177531E-4
9000	-6810.827221803344	-6682.05506880074	-128.77215300260502	-6682.05506880074	11.235370224285045	128.55763374946767	-112.17888665159916	0.2932834891368998	0.2746978301847762	0.2020434770652053	0.18682713360070427	0.3364315591493143	1.8825809037357564	1.0	3.7523929520738884E-4
10000	-6767.400757480671	-6635.307357719298	-132.09339976137244	-6635.307357719298	15.224388103182529	139.92508496294664	-115.50013341036659	0.22865653766701954	0.2746978301847762	0.2020434770652053	0.18682713360070427	0.3364315591493143	1.8825809037357564	1.0	3.7523929520738884E-4
11000	-6724.381777797447	-6596.508230160419	-127.87354763702885	-6596.508230160419	11.534729660952035	120.37184569306942	-111.28028128602298	0.36709855951195197	0.2746978301847762	0.2020434770652053	0.18682713360070427	0.3364315591493143	1.8825809037357564	1.0	3.7523929520738884E-4
12000	-6667.522145425673	-6533.408206341121	-134.1139390845529	-6533.408206341121	18.668988502299086	146.10655612119092	-116.7478331735302	0.26184899683837815	0.2864998270285984	0.20029485562329183	0.17299858019906883	0.3402067371490408	1.580154094633754	1.0	3.1699787745525344E-4
13000	-6610.840961282021	-6467.149954810706	-143.6910064713157	-6467.149954810706	21.210629441750438	178.11006864173507	-124.92956361260808	0.25664190248703134	0.2731347988523397	0.19657382041328975	0.1845649314887646	0.3457264492456059	1.8148919693095533	1.0	2.4085642924730305E-4
14000	-6604.230449467953	-6461.175350747076	-143.05509872087734	-6461.175350747076	22.272131415882	178.12493798646807	-124.24845764023355	0.22968420468001863	0.2731347988523397	0.19657382041328975	0.1845649314887646	0.3457264492456059	1.9260284819160964	1.0	2.4085642924730305E-4
15000	-6596.230699849927	-6441.018066850177	-155.2126329997496	-6441.018066850177	23.983810265611737	228.85415174174062	-134.67648951509102	0.14920518003542285	0.29377408416449097	0.19408421766993925	0.18739979580477217	0.32474190236079775	2.0689277846215677	1.0	1.7200482070017255E-4
16000	-6590.390168889594	-6431.463528267962	-158.92664062163172	-6431.463528267962	29.90103694139922	247.9299058714794	-137.3240907068643	0.17194731038283637	0.29760658093800313	0.18190245128582944	0.1880979807816548	0.3323929869945127	2.5322625562832255	1.0	1.4730072835201168E-4
17000	-6571.075919018371	-6417.223914664535	-153.85200435383584	-6417.223914664535	25.158676356902188	205.94399954852986	-132.8375250637513	0.13232637382771012	0.2971214102754765	0.18738105367220176	0.1748867438405459	0.34061079221177587	2.354487972824469	1.0	1.6454487982097625E-4
18000	-6563.951999734331	-6405.964086543871	-157.98791319046026	-6405.964086543871	26.332562085791707	240.48931338396258	-136.1677192392503	0.15727154676117455	0.28783251856066155	0.20227333313485435	0.17829574077652688	0.33159840752795716	2.4836689313303983	1.0	1.3955395130337347E-4
19000	-6574.322623873138	-6398.772616905548	-175.55000696759015	-6398.772616905548	45.07881163406201	350.07184385361404	-151.87363839874484	0.11492480154040746	0.2920878909614239	0.1798979354442423	0.1889499103225052	0.33906426327182865	2.945828759372898	1.0	1.0349458006582524E-4
20000	-6575.607659300936	-6400.131275568799	-175.47638373213744	-6400.131275568799	45.25948135979234	349.806291843087	-151.92015863973631	0.11252315801969905	0.2869027121175038	0.18949640030444923	0.18838251473796988	0.3352183728400771	3.106857193065086	1.0	1.0573754044417304E-4
21000	-6580.802410136902	-6405.6282603432965	-175.17414979360518	-6405.6282603432965	41.38889081049683	340.1540276266937	-150.62519275662834	0.13368305173252745	0.28076755490375777	0.1909708527746712	0.18782595665038118	0.34043563567118973	2.9523817760472464	1.0	8.764665203563815E-5
22000	-6600.355429420082	-6406.976041379676	-193.3793880404062	-6406.976041379676	53.09248098739299	482.75511601723787	-168.52276236990676	0.0648938186168423	0.2884596002364468	0.17710589731879597	0.18408079522686932	0.35035370721788783	3.2730247430601596	1.0	8.646381567660183E-5
