#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:aligned" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:aligned" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:aligned" spec="beast.base.evolution.tree.Tree">
#                <trait id="dateTrait.t:aligned" spec="beast.base.evolution.tree.TraitSet" traitname="date">
#                                    Japan/SZ-NIG-Y223038/2022=2022,
#VNM/OUCRU-NHTD3617/2022=2022,
#KEN/C120125/2022=2022,
#Switzerland/GE-HUG-40509532/2023=2023,
#England/QEUH-326BE15A/2023=2023,
#USA/VI-CDC-2-6875014/2023=2023,
#Switzerland/BS-UHB-USB_2023_01_30_f6430886/2023=2023,
#THA/CONI-3921/2022=2022,
#USA/AK-USAFSAM-S21082/2023=2023,
#BHR/660304023/2022=2022,
#USA/UT-CDC-VSX-A079256/2023=2023,
#Canisfamiliaris/NAM/1256/2022=2022,
#NZL/22CH0368/2022=2022,
#USA/CA-CDC-STM-NBU4XHDMV/2022=2022,
#THA/CONI-3908/2022=2022,
#USA/NC-CDC-LC0895050/2022=2022,
#IRQ/BG-USAFSAM-S20950/2022=2022,
#CHN/CPL-12-52/2022=2022,
#USA/LA-CDC-QDX41868225/2022=2022,
#Japan/SZ-NIG-Y222450/2022=2022,
#BEL/HT-USAFSAM-S20836/2022=2022,
#LAO/LOMWRU-0853/2022=2022,
#KEN/SS11283/2022=2022,
#England/BRBR-32657988/2022=2022,
#SYC/SS10817/2022=2022,
#LAO/LOMWRU-0868/2022=2022,
#LAO/LOMWRU-0651/2022=2022,
#THA/CONI-3889/2022=2022,
#NZL/20CV0055/2020=2020,
#USA/VA-VTVAS3-GSC23203/2021=2021,
#OX352506=2506,
#Switzerland/BE-SRO-5000138287/2022=2022,
#Liechtenstein/FL-Risch-0926R13825/2022=2022,
#TWN/KMUH-33/2022=2022,
#Liechtenstein/FL-Risch-1219R15476/2022=2022,
#England/LSPA-325E464E/2022=2022,
#BHR/390105767/2022=2022,
#Japan/PG-250552/2022=2022,
#Switzerland/SG-Risch-1012R14178/2022=2022,
#USA/MN-CDC-QDX42000672/2022=2022,
#Liechtenstein/FL-Risch-0923R13838/2022=2022,
#OX451126=2022,
#LBY/59772-19/2022=2022,
#Switzerland/ZH-ETHZ-38004464/2022=2022,
#England/MILK-800BDA/2020=2020,
#England/BRBR-326ECF59/2023=2023,
#OX450918=2022,
#KEN/SS11076/2022=2022,
#BRA/DF-NXBS126GENOV827515027588/2021=2021,
#USA/NE-CDC-LC0925904/2022=2022                
#                                    <taxa id="TaxonSet.aligned supershort 100" spec="beast.base.evolution.alignment.TaxonSet">
#                    </taxa>
#                </trait>
#                <taxonset idref="TaxonSet.aligned supershort 100"/>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:aligned" name="distribution" x="@birthRate.t:aligned">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ClockPrior.c:aligned" name="distribution">
#            <parameter id="clockRate.c:aligned" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@aligned supershort 100" id="treeLikelihood.aligned supershort 100" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:aligned">
#            <siteModel id="SiteModel.s:aligned" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:aligned" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:aligned" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:aligned" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:aligned" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:aligned" id="StrictClock.c:aligned" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate	clockRate
0	-84289.68931452517	-60077.553539987435	-24212.135774537725	-60077.553539987435	486.63914293946164	497.1357745377292	-24212.135774537725	1.0	1.0
1000	-11516.456689599909	-11163.03406471079	-353.42262488911933	-11163.03406471079	486.94896013661725	529.8314993331721	-353.42262488911933	0.0017678981892682514	0.0023993021993798124
2000	-7859.308932388344	-7505.311038004303	-353.9978943840419	-7505.311038004303	496.06213493292836	855.2289110250758	-353.9978943840419	0.0017678981892682514	7.099820327374346E-5
3000	-7531.045147548603	-7176.47868576464	-354.56646178396255	-7176.47868576464	510.62049239798614	1019.216364633842	-354.56646178396255	0.0016906286614762178	6.154299553885467E-5
4000	-7433.586806012636	-7078.880511325099	-354.7062946875364	-7078.880511325099	520.864950290881	1212.912397147796	-354.7062946875364	0.002207167087916711	3.98846787213507E-5
5000	-7313.196417953101	-6957.095546542299	-356.1008714108024	-6957.095546542299	567.8068594233496	1844.7525196743295	-356.1008714108024	0.002207167087916711	2.3711755572653286E-5
6000	-7248.953668718719	-6890.450985237225	-358.50268348149484	-6890.450985237225	657.4552051705109	3277.7177211168528	-358.50268348149484	0.0016418358655657696	1.2609991470186935E-5
7000	-7237.363334461081	-6875.818812153834	-361.54452230724684	-6875.818812153834	687.9714166081976	3375.350775375032	-361.54452230724684	0.002531122291515044	1.5717637031000133E-5
8000	-7218.032695389551	-6854.054772103852	-363.97792328569886	-6854.054772103852	886.4832839513911	6420.46852507842	-363.97792328569886	0.0018182341425478747	5.6656755540275555E-6
9000	-7214.657914940615	-6847.552647027294	-367.1052679133206	-6847.552647027294	1056.4888857441929	8615.425223644732	-367.1052679133206	0.0015171434020950325	5.6656755540275555E-6
10000	-7151.100416125774	-6783.857615201316	-367.2428009244585	-6783.857615201316	1136.2073911144644	8497.57679456496	-367.2428009244585	0.001354741487671775	5.6656755540275555E-6
11000	-7151.426214697516	-6783.204815022707	-368.22139967480837	-6783.204815022707	1136.7382192861817	9219.927707455168	-368.22139967480837	0.001354741487671775	4.393043291220547E-6
12000	-7115.712694575883	-6742.770423783533	-372.9422707923496	-6742.770423783533	1617.393500448007	12659.73596747333	-372.9422707923496	0.0014157735496523232	3.7202887506959115E-6
13000	-7091.269408163806	-6709.462239637356	-381.8071685264491	-6709.462239637356	2455.8457392153005	19821.97464401838	-381.8071685264491	0.0010487162092505764	2.092574596126978E-6
14000	-7062.990619059629	-6678.096355757261	-384.8942633023676	-6678.096355757261	3224.600034323392	22299.020974842835	-384.8942633023676	9.20600805526575E-4	1.907722754688679E-6
15000	-7064.148012826235	-6667.888098022353	-396.25991480388166	-6667.888098022353	4044.9887339473153	34898.01492811331	-396.25991480388166	8.28060920665366E-4	1.1503872159075424E-6
16000	-7077.150980581895	-6667.1581238495255	-409.9928567323693	-6667.1581238495255	5859.314980130204	53420.359667811	-409.9928567323693	7.05535786254339E-4	7.837041386543347E-7
17000	-7086.64939972259	-6652.053593387241	-434.5958063353495	-6652.053593387241	13314.274011100153	103600.15837118484	-434.5958063353495	4.311650191652783E-4	4.2680252503487154E-7
18000	-7114.526760101525	-6650.405862639288	-464.1208974622367	-6650.405862639288	21678.304194774202	209499.6775049432	-464.1208974622367	2.2936561544023904E-4	2.100421702108691E-7
19000	-7117.041851056784	-6640.398168202279	-476.64368285450604	-6640.398168202279	32265.080397742	276535.27938776405	-476.64368285450604	1.4480667082739302E-4	1.5023495507853506E-7
20000	-7096.7001610598445	-6652.42306285441	-444.2770982054348	-6652.42306285441	12652.671679236746	132234.55461948438	-444.2770982054348	2.978014677825476E-4	3.185792974388082E-7
21000	-7103.282425122446	-6651.693555324478	-451.58886979796756	-6651.693555324478	16887.67921632844	157571.85794073145	-451.58886979796756	2.7380364830154974E-4	2.6262808768366937E-7
22000	-7115.213504545409	-6651.187699268782	-464.0258052766267	-6651.187699268782	22816.68903344517	209945.02108044605	-464.0258052766267	2.1286427450442697E-4	2.0208575235106093E-7
23000	-7108.018157325955	-6649.6498868083045	-458.36827051765033	-6649.6498868083045	20773.642284964895	184451.24497390928	-458.36827051765033	2.3991462254860585E-4	2.063115888155272E-7
24000	-7103.536659008982	-6636.482834868652	-467.05382414032897	-6636.482834868652	25324.85498053634	223710.29856769484	-467.05382414032897	2.1779376639354512E-4	1.7168387707706101E-7
25000	-7150.839909220314	-6643.6440846202695	-507.19582460004534	-6643.6440846202695	56141.12723032615	538707.0793382619	-507.19582460004534	9.374217033942545E-5	7.934378663126761E-8
